Country, Temperature(degree fahrenheit)
China,87
China,4
China,89
China,
China,
China,27
China,76
China,4
United States,
China,86
China,30
China,
China,48
China,41
United States,
United States,82
China,19
China,98
China,57
China,65
China,
China,94
China,27
China,79
China,83
China,60
China,13
Japan,
China,83
China,58
China,58
China,
United States,
China,65
United States,31
United States,36
China,
China,
China,
China,67
China,
China,12
China,56
China,7
China,
China,29
South Korea,75
China,
China,85
Japan,
China,9
Japan,7
China,
China,80
China,13
China,46
China,47
China,58
China,33
China,54
China,45
China,56
China,11
China,
China,13
China,
China,37
China,4
United States,
China,
China,60
China,
China,74
China,11
United States,22
China,
China,
China,92
China,
China,
China,6
United States,47
China,54
China,
China,94
Japan,77
China,
China,
United States,40
Japan,84
China,49
China,92
Japan,40
China,
China,
China,
China,30
China,8
China,36
United States,48